index,x,y,dx,dy
a-180x-180,-180,-180,-7.5130005,3.5850067
a-176.4x-180,-176.4,-180,-7.7029938,3.5559998
a-172.8x-180,-172.8,-180,-7.8890045,3.5240021
a-169.2x-180,-169.2,-180,-8.0739929,3.4889984
a-165.6x-180,-165.6,-180,-8.2560059,3.4459991
a-162x-180,-162,-180,-8.4400024,3.401001
a-158.4x-180,-158.4,-180,-8.620993,3.348999
a-154.8x-180,-154.8,-180,-8.7989929,3.2879944
a-151.2x-180,-151.2,-180,-8.9749939,3.2279968
a-147.6x-180,-147.6,-180,-9.1469971,3.1620026
a-144x-180,-144,-180,-9.3170013,3.0899963
a-140.4x-180,-140.4,-180,-9.4870056,3.0119934
a-136.8x-180,-136.8,-180,-9.6529968,2.9279938
a-133.2x-180,-133.2,-180,-9.8169968,2.8419952
a-129.6x-180,-129.6,-180,-9.9779984,2.7480011
a-126x-180,-126,-180,-10.1380005,2.6410065
a-122.4x-180,-122.4,-180,-10.2960037,2.4989929
a-118.8x-180,-118.8,-180,-10.4539993,2.401001
a-115.2x-180,-115.2,-180,-10.6100037,2.3269958
a-111.6x-180,-111.6,-180,-10.7480026,2.2200012
a-108x-180,-108,-180,-10.8845978,2.1000061
a-104.4x-180,-104.4,-180,-11.0173019,1.9700012
a-100.8x-180,-100.8,-180,-11.1442993,1.8379974
a-97.2x-180,-97.2,-180,-11.2677032,1.7050018
a-93.6x-180,-93.6,-180,-11.3825012,1.5590057
a-90x-180,-90,-180,-11.4949036,1.3890076
a-86.4x-180,-86.4,-180,-11.6017975,1.2700043
a-82.8x-180,-82.8,-180,-11.6996964,1.121994
a-79.2x-180,-79.2,-180,-11.7988007,0.9490051
a-75.6x-180,-75.6,-180,-11.8873001,0.772995
a-72x-180,-72,-180,-11.968399,0.602005
a-68.4x-180,-68.4,-180,-12.0419983,0.427002
a-64.8x-180,-64.8,-180,-12.1098984,0.2460022
a-61.2x-180,-61.2,-180,-12.1714012,0.0610046
a-57.6x-180,-57.6,-180,-12.2250992,-0.128006
a-54x-180,-54,-180,-12.2678986,-0.3220062
a-50.4x-180,-50.4,-180,-12.3037018,-0.5180054
a-46.8x-180,-46.8,-180,-12.3335999,-0.7120056
a-43.2x-180,-43.2,-180,-12.3509991,-0.9160004
a-39.6x-180,-39.6,-180,-12.3593002,-1.121994
a-36x-180,-36,-180,-12.3586998,-1.326004
a-32.4x-180,-32.4,-180,-12.348,-1.5339966
a-28.8x-180,-28.8,-180,-12.3277004,-1.7440033
a-25.2x-180,-25.2,-180,-12.2976,-1.9570007
a-21.6x-180,-21.6,-180,-12.2567802,-2.1719971
a-18x-180,-18,-180,-12.20679,-2.3849945
a-14.4x-180,-14.4,-180,-12.1460001,-2.5980072
a-10.8x-180,-10.8,-180,-12.07478,-2.8110046
a-7.2x-180,-7.2,-180,-11.9937198,-3.0279999
a-3.6x-180,-3.6,-180,-11.9016005,-3.2420044
a0x-180,0,-180,-11.7995996,-3.4499969
a3.6x-180,3.6,-180,-11.6863998,-3.6589966
a7.2x-180,7.2,-180,-11.5637005,-3.8679962
a10.8x-180,10.8,-180,-11.4308006,-4.0700073
a14.4x-180,14.4,-180,-11.2872997,-4.2669983
a18x-180,18,-180,-11.1357002,-4.4640045
a21.6x-180,21.6,-180,-10.9755005,-4.6569977
a25.2x-180,25.2,-180,-10.8059013,-4.845993
a28.8x-180,28.8,-180,-10.6266014,-5.022995
a32.4x-180,32.4,-180,-10.4401985,-5.1929932
a36x-180,36,-180,-10.2473984,-5.3569946
a39.6x-180,39.6,-180,-10.0459007,-5.5180054
a43.2x-180,43.2,-180,-9.8359993,-5.673996
a46.8x-180,46.8,-180,-9.6207001,-5.8209991
a50.4x-180,50.4,-180,-9.4008003,-5.9589996
a54x-180,54,-180,-9.1725998,-6.0919952
a57.6x-180,57.6,-180,-8.9382004,-6.2160034
a61.2x-180,61.2,-180,-8.6998032,-6.3309937
a64.8x-180,64.8,-180,-8.4574005,-6.4389954
a68.4x-180,68.4,-180,-8.2097031,-6.5379944
a72x-180,72,-180,-7.956398,-6.6300049
a75.6x-180,75.6,-180,-7.7013,-6.7149963
