FID,index,x,y,dx,dy,,
0,a-180x-180,-180,-180,-172.4869995,-183.5850067,-7.5130005,3.5850067
1,a-176.4x-180,-176.4,-180,-168.6970062,-183.5559998,-7.7029938,3.5559998
2,a-172.8x-180,-172.8,-180,-164.9109955,-183.5240021,-7.8890045,3.5240021
3,a-169.2x-180,-169.2,-180,-161.1260071,-183.4889984,-8.0739929,3.4889984
4,a-165.6x-180,-165.6,-180,-157.3439941,-183.4459991,-8.2560059,3.4459991
5,a-162x-180,-162,-180,-153.5599976,-183.401001,-8.4400024,3.401001
6,a-158.4x-180,-158.4,-180,-149.779007,-183.348999,-8.620993,3.348999
7,a-154.8x-180,-154.8,-180,-146.0010071,-183.2879944,-8.7989929,3.2879944
8,a-151.2x-180,-151.2,-180,-142.2250061,-183.2279968,-8.9749939,3.2279968
9,a-147.6x-180,-147.6,-180,-138.4530029,-183.1620026,-9.1469971,3.1620026
10,a-144x-180,-144,-180,-134.6829987,-183.0899963,-9.3170013,3.0899963
11,a-140.4x-180,-140.4,-180,-130.9129944,-183.0119934,-9.4870056,3.0119934
12,a-136.8x-180,-136.8,-180,-127.1470032,-182.9279938,-9.6529968,2.9279938
13,a-133.2x-180,-133.2,-180,-123.3830032,-182.8419952,-9.8169968,2.8419952
14,a-129.6x-180,-129.6,-180,-119.6220016,-182.7480011,-9.9779984,2.7480011
15,a-126x-180,-126,-180,-115.8619995,-182.6410065,-10.1380005,2.6410065
16,a-122.4x-180,-122.4,-180,-112.1039963,-182.4989929,-10.2960037,2.4989929
17,a-118.8x-180,-118.8,-180,-108.3460007,-182.401001,-10.4539993,2.401001
18,a-115.2x-180,-115.2,-180,-104.5899963,-182.3269958,-10.6100037,2.3269958
19,a-111.6x-180,-111.6,-180,-100.8519974,-182.2200012,-10.7480026,2.2200012
20,a-108x-180,-108,-180,-97.1154022,-182.1000061,-10.8845978,2.1000061
21,a-104.4x-180,-104.4,-180,-93.3826981,-181.9700012,-11.0173019,1.9700012
22,a-100.8x-180,-100.8,-180,-89.6557007,-181.8379974,-11.1442993,1.8379974
23,a-97.2x-180,-97.2,-180,-85.9322968,-181.7050018,-11.2677032,1.7050018
24,a-93.6x-180,-93.6,-180,-82.2174988,-181.5590057,-11.3825012,1.5590057
25,a-90x-180,-90,-180,-78.5050964,-181.3890076,-11.4949036,1.3890076
26,a-86.4x-180,-86.4,-180,-74.7982025,-181.2700043,-11.6017975,1.2700043
27,a-82.8x-180,-82.8,-180,-71.1003036,-181.121994,-11.6996964,1.121994
28,a-79.2x-180,-79.2,-180,-67.4011993,-180.9490051,-11.7988007,0.9490051
29,a-75.6x-180,-75.6,-180,-63.7126999,-180.772995,-11.8873001,0.772995
30,a-72x-180,-72,-180,-60.031601,-180.602005,-11.968399,0.602005
31,a-68.4x-180,-68.4,-180,-56.3580017,-180.427002,-12.0419983,0.427002
32,a-64.8x-180,-64.8,-180,-52.6901016,-180.2460022,-12.1098984,0.2460022
33,a-61.2x-180,-61.2,-180,-49.0285988,-180.0610046,-12.1714012,0.0610046
34,a-57.6x-180,-57.6,-180,-45.3749008,-179.871994,-12.2250992,-0.128006
35,a-54x-180,-54,-180,-41.7321014,-179.6779938,-12.2678986,-0.3220062
36,a-50.4x-180,-50.4,-180,-38.0962982,-179.4819946,-12.3037018,-0.5180054
37,a-46.8x-180,-46.8,-180,-34.4664001,-179.2879944,-12.3335999,-0.7120056
38,a-43.2x-180,-43.2,-180,-30.8490009,-179.0839996,-12.3509991,-0.9160004
39,a-39.6x-180,-39.6,-180,-27.2406998,-178.878006,-12.3593002,-1.121994
40,a-36x-180,-36,-180,-23.6413002,-178.673996,-12.3586998,-1.326004
41,a-32.4x-180,-32.4,-180,-20.052,-178.4660034,-12.348,-1.5339966
42,a-28.8x-180,-28.8,-180,-16.4722996,-178.2559967,-12.3277004,-1.7440033
43,a-25.2x-180,-25.2,-180,-12.9024,-178.0429993,-12.2976,-1.9570007
44,a-21.6x-180,-21.6,-180,-9.3432198,-177.8280029,-12.2567802,-2.1719971
