FID,index,x,y,dx,dy,,
0,a-180x-180,-180,-180,-178.6670074,-178.651001,-1.3329926,-1.348999
1,a-176.4x-180,-176.4,-180,-175.0910034,-178.6679993,-1.3089966,-1.3320007
2,a-172.8x-180,-172.8,-180,-171.5110016,-178.6849976,-1.2889984,-1.3150024
3,a-169.2x-180,-169.2,-180,-167.923996,-178.701004,-1.276004,-1.298996
4,a-165.6x-180,-165.6,-180,-164.3410034,-178.7149963,-1.2589966,-1.2850037
5,a-162x-180,-162,-180,-160.7680054,-178.7290039,-1.2319946,-1.2709961
6,a-158.4x-180,-158.4,-180,-157.1959991,-178.7429962,-1.2040009,-1.2570038
7,a-154.8x-180,-154.8,-180,-153.6150055,-178.7559967,-1.1849945,-1.2440033
8,a-151.2x-180,-151.2,-180,-150.0310059,-178.7689972,-1.1689941,-1.2310028
9,a-147.6x-180,-147.6,-180,-146.4530029,-178.7799988,-1.1469971,-1.2200012
10,a-144x-180,-144,-180,-142.8829956,-178.7920074,-1.1170044,-1.2079926
11,a-140.4x-180,-140.4,-180,-139.3079987,-178.8040009,-1.0920013,-1.1959991
12,a-136.8x-180,-136.8,-180,-135.7259979,-178.8139954,-1.0740021,-1.1860046
13,a-133.2x-180,-133.2,-180,-132.1430054,-178.8240051,-1.0569946,-1.1759949
14,a-129.6x-180,-129.6,-180,-128.5690002,-178.8329926,-1.0309998,-1.1670074
15,a-126x-180,-126,-180,-124.9970016,-178.8410034,-1.0029984,-1.1589966
16,a-122.4x-180,-122.4,-180,-121.4179993,-178.8500061,-0.9820007,-1.1499939
17,a-118.8x-180,-118.8,-180,-117.8349991,-178.8580017,-0.9650009,-1.1419983
18,a-115.2x-180,-115.2,-180,-114.2570038,-178.8659973,-0.9429962,-1.1340027
19,a-111.6x-180,-111.6,-180,-110.6829987,-178.871994,-0.9170013,-1.128006
20,a-108x-180,-108,-180,-107.1090012,-178.8789978,-0.8909988,-1.1210022
