index,x,y,dx,dy
a-180x-180,-180,-180,1.8940001,1.29401
a-176.4x-180,-176.4,-180,1.877,1.27499
a-172.8x-180,-172.8,-180,1.86599,1.256
a-169.2x-180,-169.2,-180,1.86299,1.23801
a-165.6x-180,-165.6,-180,1.8609999,1.2209899
a-162x-180,-162,-180,1.8480099,1.205
a-158.4x-180,-158.4,-180,1.835,1.19099
a-154.8x-180,-154.8,-180,1.83101,1.17599
a-151.2x-180,-151.2,-180,1.83,1.16299
a-147.6x-180,-147.6,-180,1.82301,1.151
a-144x-180,-144,-180,1.8099999,1.14
a-140.4x-180,-140.4,-180,1.80199,1.12801
a-136.8x-180,-136.8,-180,1.80101,1.118
a-133.2x-180,-133.2,-180,1.799,1.10899
a-129.6x-180,-129.6,-180,1.788,1.10001
a-126x-180,-126,-180,1.778,1.092
a-122.4x-180,-122.4,-180,1.775,1.084
a-118.8x-180,-118.8,-180,1.775,1.0779999
a-115.2x-180,-115.2,-180,1.7690001,1.07201
a-111.6x-180,-111.6,-180,1.7589999,1.06599
a-108x-180,-108,-180,1.753,1.062
a-104.4x-180,-104.4,-180,1.752,1.05901
a-100.8x-180,-100.8,-180,1.7495,1.0570101
a-97.2x-180,-97.2,-180,1.7412,1.054
a-93.6x-180,-93.6,-180,1.7326,1.05299
a-90x-180,-90,-180,1.7289,1.058
a-86.4x-180,-86.4,-180,1.7278,1.0570101
a-82.8x-180,-82.8,-180,1.7223001,1.054
a-79.2x-180,-79.2,-180,1.7117,1.0470001
a-75.6x-180,-75.6,-180,1.704,1.054
a-72x-180,-72,-180,1.7017,1.0679899
a-68.4x-180,-68.4,-180,1.6992,1.069
a-64.8x-180,-64.8,-180,1.691,1.0679899
a-61.2x-180,-61.2,-180,1.6818,1.071
a-57.6x-180,-57.6,-180,1.6758,1.077
a-54x-180,-54,-180,1.6712,1.084
a-50.4x-180,-50.4,-180,1.6643,1.092
a-46.8x-180,-46.8,-180,1.6544,1.10001
a-43.2x-180,-43.2,-180,1.646,1.10899
a-39.6x-180,-39.6,-180,1.64,1.118
a-36x-180,-36,-180,1.6329,1.12801
a-32.4x-180,-32.4,-180,1.6227,1.13901
a-28.8x-180,-28.8,-180,1.6121,1.14999
a-25.2x-180,-25.2,-180,1.6034,1.1619999
a-21.6x-180,-21.6,-180,1.5954,1.174
a-18x-180,-18,-180,1.585,1.187
a-14.4x-180,-14.4,-180,1.5729001,1.201
a-10.8x-180,-10.8,-180,1.56129,1.216
a-7.2x-180,-7.2,-180,1.55059,1.233
a-3.6x-180,-3.6,-180,1.53848,1.25301
a0x-180,0,-180,1.5239201,1.2690001
a3.6x-180,3.6,-180,1.5086,1.289
a7.2x-180,7.2,-180,1.49366,1.304
a10.8x-180,10.8,-180,1.4784,1.326
a14.4x-180,14.4,-180,1.4604,1.351
a18x-180,18,-180,1.4433,1.36099
a21.6x-180,21.6,-180,1.4270999,1.382
a25.2x-180,25.2,-180,1.4093,1.40601
a28.8x-180,28.8,-180,1.3902,1.431
a32.4x-180,32.4,-180,1.3705,1.45399
a36x-180,36,-180,1.3499,1.476
a39.6x-180,39.6,-180,1.327,1.508
a43.2x-180,43.2,-180,1.303,1.521
a46.8x-180,46.8,-180,1.2786,1.543
a50.4x-180,50.4,-180,1.2517,1.564
a54x-180,54,-180,1.2276,1.61099
a57.6x-180,57.6,-180,1.2039,1.63
a61.2x-180,61.2,-180,1.1758,1.64999
a64.8x-180,64.8,-180,1.1454999,1.674
a68.4x-180,68.4,-180,1.1155,1.7079901
a72x-180,72,-180,1.084,1.737
a75.6x-180,75.6,-180,1.0523,1.76601
a79.2x-180,79.2,-180,1.0222,1.791
a82.8x-180,82.8,-180,0.990703,1.81599
a86.4x-180,86.4,-180,0.953203,1.842
a90x-180,90,-180,0.911201,1.869
a93.6x-180,93.6,-180,0.8702,1.897
a97.2x-180,97.2,-180,0.8326,1.925
a100.8x-180,100.8,-180,0.791003,1.952
a104.4x-180,104.4,-180,0.741998,1.979
a108x-180,108,-180,0.694,2.0050001
a111.6x-180,111.6,-180,0.651999,2.0310099
a115.2x-180,115.2,-180,0.608998,2.056
a118.8x-180,118.8,-180,0.557002,2.0799999
a122.4x-180,122.4,-180,0.503,2.105
a126x-180,126,-180,0.456001,2.12801
a129.6x-180,129.6,-180,0.411993,2.151
a133.2x-180,133.2,-180,0.359998,2.1719999
a136.8x-180,136.8,-180,0.302005,2.19099
a140.4x-180,140.4,-180,0.249002,2.2130001
a144x-180,144,-180,0.205002,2.2309999
a147.6x-180,147.6,-180,0.159003,2.25
a151.2x-180,151.2,-180,0.100003,2.2680099
a154.8x-180,154.8,-180,0.0430023,2.286
a158.4x-180,158.4,-180,-0.002005,2.3039999
a162x-180,162,-180,-0.0460052,2.3200099
a165.6x-180,165.6,-180,-0.101999,2.3370099
a169.2x-180,169.2,-180,-0.162006,2.3529999
a172.8x-180,172.8,-180,-0.210004,2.3699999
a176.4x-180,176.4,-180,-0.248007,2.38499
a-180x-176.4,-180,-176.4,1.8739901,1.267
a-176.4x-176.4,-176.4,-176.4,1.85799,1.24801
a-172.8x-176.4,-172.8,-176.4,1.847,1.22899
a-169.2x-176.4,-169.2,-176.4,1.846,1.212
a-165.6x-176.4,-165.6,-176.4,1.845,1.19601
a-162x-176.4,-162,-176.4,1.8329901,1.1799999
a-158.4x-176.4,-158.4,-176.4,1.82101,1.16601
a-154.8x-176.4,-154.8,-176.4,1.817,1.15101
a-151.2x-176.4,-151.2,-176.4,1.817,1.137
a-147.6x-176.4,-147.6,-176.4,1.811,1.12501
a-144x-176.4,-144,-176.4,1.798,1.113
a-140.4x-176.4,-140.4,-176.4,1.79101,1.102
a-136.8x-176.4,-136.8,-176.4,1.791,1.0909899
a-133.2x-176.4,-133.2,-176.4,1.79,1.08201
a-129.6x-176.4,-129.6,-176.4,1.78,1.072
a-126x-176.4,-126,-176.4,1.77,1.064
a-122.4x-176.4,-122.4,-176.4,1.768,1.057
a-118.8x-176.4,-118.8,-176.4,1.768,1.0499901
a-115.2x-176.4,-115.2,-176.4,1.7640001,1.04301
a-111.6x-176.4,-111.6,-176.4,1.7539999,1.038
a-108x-176.4,-108,-176.4,1.748,1.033
a-104.4x-176.4,-104.4,-176.4,1.748,1.031
a-100.8x-176.4,-100.8,-176.4,1.747,1.029
a-97.2x-176.4,-97.2,-176.4,1.7395,1.02601
a-93.6x-176.4,-93.6,-176.4,1.7314,1.025
a-90x-176.4,-90,-176.4,1.7283,1.0319999
a-86.4x-176.4,-86.4,-176.4,1.7282,1.031
a-82.8x-176.4,-82.8,-176.4,1.7236,1.02601
a-79.2x-176.4,-79.2,-176.4,1.7137001,1.017
a-75.6x-176.4,-75.6,-176.4,1.7067,1.02601
